CID,FIELD,GROUP,zHD,MU,MUERR,PROBIA,HOST_RA,HOST_DEC,HOST_LOGMASS,kappa_raw,kappa_ext,kappa_gal_ext,kappa_cl_ext,gamma,dmu_pred,zbin,rand_mean,rand_sig,n_rand_ok,area_frac,area_flag,cl_dz_min_2am,frac_nir,n_spec_region,hr,hr_glob
1641368,X3,X,0.60706,43.00297,0.2155,0.99952,37.248783,-4.295282,9.589,0.003896566813228597,-0.004302454653951445,-0.003536602852933861,-0.0007658518010175831,0.004920193060664254,0.009686714750171774,0.6250000000000002,0.008199021467180042,0.005520707215719196,496,0.85,True,,0.23376623376623376,28317,0.2472667234600506,0.26145197071441273
1293046,X3,X,0.60736,42.93457,0.2045,0.99988,37.167213,-4.732303,10.951,0.00035598776900015294,-0.007848713724203552,-0.004275978751968032,-0.003572734972235521,0.004463754605119314,0.01741015977613622,0.6250000000000002,0.008204701493203705,0.005523843802341321,496,0.675,True,,0.7952559300873908,28317,0.1775814816790343,0.1917667289333964
1306110,X3,X,0.60864,42.60705,0.1301,1.0,36.220924,-3.821939,11.123,0.006873345882511325,-0.0013555903883933516,0.002390967171589162,-0.0037465575599825137,0.011126986120991098,0.0031589965497976734,0.6250000000000002,0.008228936270904676,0.00553722657192906,496,1.0,False,0.027140938929779215,0.0,28317,-0.15541545268639836,-0.14123020543203624
1770680,X2,X,0.60911,42.56791,0.1432,0.99963,35.368649,-6.464186,10.837,0.01692314756855154,0.008685312590209784,-0.0005594851813337416,0.009244797771543528,0.025768486050323725,-0.019492601102592943,0.6250000000000002,0.008237834978341754,0.00554214055763706,496,1.0,False,,0.0,28317,-0.1965637694879875,-0.18237852223362538
1298763,X1,X,0.6096,43.03339,0.2105,0.95947,35.083786,-4.16837,10.677,0.004664694838471674,-0.0035824175157087327,0.0002742124730694996,-0.003856629988778233,0.0013975557422216528,0.00814495628836789,0.6250000000000002,0.008247112354180406,0.005547263649119866,496,1.0,False,,0.7980647875473286,28317,0.2668240197286876,0.28100926698304973
1602033,X3,X,0.60967,42.78596,0.1441,1.0,36.406639,-3.791698,9.187,0.00285400635022185,-0.005394431343364079,-0.003943085099496492,-0.0014513462438675876,0.009642761029895147,0.011998735169976647,0.6250000000000002,0.008248437693585929,0.005547995519331695,496,1.0,False,0.0016959998012014948,0.0,28317,0.019095262861270463,0.0332805101156326
1329365,X3,X,0.61101,42.93007,0.1545,0.99999,36.528873,-4.653965,10.633,0.004810833093458732,-0.0034629753830329032,-0.001070465167425471,-0.0023925102156074313,0.0069545679475516015,0.00783984712342495,0.6250000000000002,0.008273808476491635,0.005562005606243861,496,1.0,False,,0.9659685863874345,28317,0.15749247510256467,0.1716777223569268
1534078,X3,X,0.61224,42.72037,0.1798,1.0,35.533932,-4.363387,9.762,0.007251660397259857,-0.0010454361859288039,0.002300320240993168,-0.0033457564269219714,0.019242047909181808,0.002211754123535886,0.6250000000000002,0.008297096583188661,0.005574865611394578,496,1.0,False,,0.7570556826849733,28317,-0.05744088690727282,-0.04325563965291068
1262803,X3,X,0.61343,43.09117,0.23,0.99991,37.15242,-4.733208,10.758,0.00042037905287612613,-0.007899248300206408,-0.004337692371698898,-0.0035615559285075097,0.004557140695654104,0.017528348550294618,0.6250000000000002,0.008319627353082533,0.005587307404995681,496,0.625,True,,0.8386388583973655,28317,0.30830543928447424,0.3224906865388364
1296781,X3,X,0.61378,43.30679,173.2456,0.0,36.029087,-4.564777,10.818,0.004060363705319852,-0.00426589034479029,-0.001966149882652805,-0.002299740462137486,0.005495691488889607,0.009614125476959527,0.6250000000000002,0.008326254050110142,0.005590966756054828,496,1.0,False,0.31604060032966075,0.9643811219946572,28317,0.5224408372208557,0.5366260844752178
