CID,survey,zHD,rvar_gal_cl,rvar_gal_tot,rvar_cl_cl,rvar_cl_tot,var_zp
1295550,des:C,0.8727,1.926175389313046e-06,4.532112251966673e-06,1.187057721439863e-07,1.357619961557203e-07,2.1260444076280325e-07
1778026,des:C,0.87344,7.146210191372788e-07,2.019747497983716e-06,2.185495151852586e-05,2.3769248941896325e-05,2.1307491899658113e-07
1912066,des:C,0.87344,7.706913932042081e-07,2.230198578084494e-06,1.699407261177698e-05,1.8535814388791058e-05,2.1307491899658113e-07
1817265,des:C,0.87998,7.51555865354928e-07,2.363049079314864e-06,6.545450447212332e-07,5.954131113555848e-07,2.159267741230933e-07
1262231,des:C,0.88314,1.538944789449837e-07,3.1688452087042075e-07,3.388644137828645e-05,4.983678532091177e-05,2.171101219882145e-07
1295527,des:C,0.88491,1.7286454710385092e-06,4.834694171933329e-06,1.5932717476161942e-07,1.5214881183737714e-07,2.1777435950102796e-07
1252237,des:C,0.8858,4.860089625352834e-06,1.1391799176187096e-05,4.165371555457507e-07,6.370951996252309e-07,2.1810873796056944e-07
1936125,des:C,0.8953,1.0026379813079811e-06,7.91284383973843e-06,5.763116030053721e-05,7.665761135911383e-05,2.216939284072765e-07
1372115,des:C,0.89842,2.613521434668756e-07,7.794030262991723e-07,0.0003473555607704845,0.0005906734453113746,2.2287775587351287e-07
1595118,des:C,0.90941,2.588182032696334e-07,1.2181350607555023e-06,8.656147811040827e-06,1.6532539987253537e-05,2.270728207687216e-07
1904300,des:C,0.91082,5.394699811739626e-07,4.936470855725064e-06,3.4884569239309526e-06,1.6592568943052928e-05,2.2761387208956235e-07
1307843,des:C,0.92146,1.208704712724793e-07,8.234657636518029e-07,1.5558384993733883e-05,9.710262877977018e-06,2.3171745897944921e-07
1346612,des:C,0.92274,8.396160448399338e-07,3.4976668760469435e-06,9.408114606016382e-06,1.2041411300155515e-05,2.3221359405620675e-07
1339176,des:C,0.92537,0.00011098346883658818,0.0002594944952251198,4.9168670191721774e-06,1.576557333342508e-05,2.3325217015086672e-07
1309227,des:C,0.92576,5.967628759712082e-07,2.5876878829100214e-06,5.748700965792757e-05,0.00016909584875475416,2.3342224122413782e-07
1892072,des:C,0.92838,6.602929584963841e-08,5.907476003729257e-07,2.625941864625003e-07,9.723261608958282e-07,2.3456637674940673e-07
1370441,des:C,0.93733,7.231567956027598e-07,7.553558986810292e-06,1.8596631871049976e-05,2.2386005676644192e-05,2.384958767765183e-07
1256028,des:C,0.95521,1.6662380119980576e-06,6.902406356920623e-06,1.1834180035623252e-06,2.927179803505229e-06,2.4644383662935736e-07
1339246,des:C,0.95791,1.751946058044483e-07,4.958616228246292e-07,0.00017219224457376453,0.001467632758577316,2.4765535322367034e-07
1309509,des:C,0.96296,3.532801245970095e-07,5.550859289118577e-06,4.969198157564452e-07,6.532421872654611e-07,2.499293120487987e-07
1250803,des:C,0.96329,5.6228498163127865e-06,1.4007759595684022e-05,1.953736702334111e-06,6.857086706141607e-06,2.500782691074755e-07
1254108,des:C,0.96689,9.085570984803134e-08,2.7122444260203267e-07,5.723822265801668e-06,7.278982625444409e-06,2.517061377914143e-07
1339232,des:C,0.96859,5.053470543918996e-07,4.509511085612333e-06,0.001640058916685966,0.0025299866123983613,2.524766893044966e-07
1252183,des:C,0.97242,4.651508650148638e-08,3.3086790827316117e-07,7.060223028715656e-06,6.126826730783992e-05,2.5421701184321025e-07
1252665,des:C,0.97489,3.830171756501538e-07,3.1431413474655863e-06,0.00015668207674542496,0.00030323748647498663,2.553425313248747e-07
1255798,des:C,0.98024,2.0895021722148273e-05,6.375195519799136e-05,6.994738739697089e-07,1.7568923656403724e-06,2.5794321667507765e-07
1252671,des:C,0.98536,0.00014465924838139837,0.00027292084232784865,7.565206713507544e-06,5.230087796254774e-05,2.604475516223531e-07
