CID,GROUP,zHD,rvar_gal_cl,rvar_gal_tot,rvar_cl_cl,rvar_cl_tot,var_zp
1264512,X,0.36027,6.798076032695807e-07,6.732715851638131e-07,1.6743660065540645e-08,3.7451916326172956e-08,1.0567417048565536e-08
1905244,X,0.36176,3.671573870758334e-07,1.9445844131310827e-06,1.5030103878555337e-08,2.4584724068988103e-08,1.0733569439513062e-08
1333291,X,0.3646,2.9613031107947133e-05,5.3156341553899215e-05,7.522846620698465e-08,5.7360947034081925e-08,1.1053852003268024e-08
1255735,X,0.36463,8.254536409427507e-07,1.795206436811576e-06,3.2991977885276165e-08,8.036120453411403e-08,1.1057260401418934e-08
1308582,X,0.36704,2.678431188131091e-08,8.236270181621984e-08,1.4753798746295265e-07,2.3362381519912314e-07,1.1332784809569574e-08
1918076,X,0.36966,1.3842286460275933e-08,1.053034221077509e-07,2.30206853733354e-09,1.0361633003791803e-09,1.1636164255405396e-08
1321973,X,0.37043,9.274077135081106e-07,1.3587350939332486e-06,1.4978963934964484e-06,1.3019656905205357e-06,1.1726087307789072e-08
1434203,X,0.37567,1.4622478505967748e-08,3.036183971848188e-08,2.9045349953995026e-07,5.525653172188176e-07,1.2373975460908686e-08
1282736,X,0.37797,4.164843436778467e-07,6.36469843414079e-07,9.681213678857517e-07,8.128486763528878e-07,1.2745054357146193e-08
1847100,X,0.3789,4.6482490165744796e-08,1.7199905052261538e-07,5.980059934440305e-09,8.658637209522905e-09,1.2896655816574176e-08
1923060,X,0.38247,3.6593833594000826e-07,1.3774184890694078e-06,2.653513219660264e-10,2.0014250525737788e-10,1.3486934119144062e-08
1343401,X,0.38283,1.8427307415655163e-09,1.1389453191416113e-08,2.3850811103721377e-07,1.4636664598852118e-07,1.3547191080763814e-08
1879414,X,0.38889,7.113316360137218e-08,3.677564042582768e-07,6.067315776540198e-06,6.881505679865994e-06,1.4581675895975337e-08
1246626,X,0.39282,2.5445900712814693e-08,1.0270547407489945e-07,2.1089005710958162e-08,1.1046871058046476e-08,1.5272898164387345e-08
1329198,X,0.39521,1.7736912199228384e-07,1.130770779386957e-06,3.108314456527136e-07,3.215101824453545e-07,1.5701086569930953e-08
1329615,X,0.4036,2.2201242578524204e-08,1.500510832423442e-06,7.747812131449125e-08,1.6717774887911326e-07,1.7251089923815212e-08
1530120,X,0.40467,7.469435377116843e-08,2.927657771915339e-07,2.4649436174911703e-09,3.739939049372116e-09,1.7454011121067196e-08
1880632,X,0.40538,6.128849258140468e-08,1.2272924611831645e-07,5.315108868244709e-06,8.824151963194729e-06,1.7589314622303632e-08
1262588,X,0.40644,3.1684899662629864e-08,2.9610818145029234e-07,5.136513944217834e-08,4.9192047403790525e-08,1.7792289212889536e-08
1292997,X,0.41447,1.6128520550884362e-08,8.32781782669516e-08,2.1913866659752345e-07,7.683410167217209e-07,1.936773970729912e-08
1896164,X,0.42068,7.71491900982216e-08,1.5525857064456346e-06,5.494621384755751e-08,1.0489216079885129e-07,2.0631935745590453e-08
1337311,X,0.42131,1.2651059599586796e-06,3.647257174478606e-06,3.8799066760333443e-07,5.54834537313368e-07,2.076242039217813e-08
1368143,X,0.42348,6.946543205682352e-06,5.0910049801922886e-05,3.8626394836582636e-08,4.513548737413966e-08,2.1215015875878178e-08
1302523,X,0.42391,5.520917381909918e-07,5.450791542133101e-06,1.0887593034582756e-05,1.0936757668822855e-05,2.1305280003172153e-08
1311632,X,0.4242,3.600091752029279e-07,7.968840436719994e-07,1.0451789277717443e-10,2.4891970919925546e-10,2.1366264002705005e-08
1305387,X,0.42467,2.504854559830538e-06,2.9484267308776636e-06,4.5680729142903854e-05,0.0001029182737185,2.1465285228248395e-08
1632070,X,0.42513,3.5259711161543354e-06,4.2589360408482555e-06,4.318146208439933e-08,2.9400549096099516e-08,2.1553518240132703e-08
1295027,X,0.42561,4.009104430975879e-07,2.0303235180592934e-06,1.4094714522941249e-08,1.3679786164231941e-08,2.1622156221083097e-08
1338324,X,0.42602,2.1481558890970532e-09,9.10156190604648e-09,3.6047997604380037e-10,3.351333539738969e-10,2.1680870903998413e-08
1408068,X,0.42713,3.4372493134950225e-06,1.0510581625231516e-05,3.656557242372004e-06,6.2265240023458555e-06,2.1840229692755805e-08
1336359,X,0.42821,2.2673112219044427e-08,5.8876403532320155e-08,1.056374551551321e-09,8.576807718903204e-10,2.1995841561392843e-08
1265040,X,0.42981,6.186194018135969e-08,5.947933550747865e-07,2.5076339493727817e-08,9.531511189217282e-09,2.2227393052067705e-08
1260107,X,0.42982,3.6995557994336634e-07,9.98599515643856e-07,6.587482817076596e-10,1.503498184686663e-09,2.2228844061328742e-08
1260159,X,0.43034,1.5814868651707766e-07,3.209154244886463e-07,8.612174161352478e-08,9.44573328469406e-08,2.2304361804395074e-08
1916124,X,0.43071,2.1042164451383614e-09,2.1148074589539063e-08,7.826829747165374e-09,1.4946017778795453e-08,2.2358173560633684e-08
1317526,X,0.4316,3.037514348304303e-07,1.650090721875326e-06,4.009149150581563e-09,4.901726034369995e-09,2.2487878195021978e-08
1367571,X,0.43311,1.8233452176749505e-07,3.0520178460375637e-07,5.227870588938069e-09,4.187393520063878e-09,2.270879702209614e-08
1310485,X,0.43313,3.562378448323074e-08,1.4820502455640054e-07,6.455062006955807e-08,8.506638703393054e-08,2.2711730345289432e-08
1314067,X,0.43365,7.198276005575959e-08,7.486509243763505e-07,1.477907387113223e-07,2.525269038695665e-07,2.2788063241121152e-08
1660018,X,0.43435,1.011132751820677e-08,4.7738439646091134e-08,1.8170800070904207e-06,1.146210052746592e-06,2.289102128775959e-08
1909346,X,0.43448,3.176172331785215e-07,1.0621113721817795e-06,3.5528645855210122e-09,3.74055118228229e-09,2.2910167618333686e-08
1321166,X,0.4351,7.349869856431651e-09,9.362611368073933e-08,2.1526886686682375e-07,2.826096708441735e-07,2.300159099820086e-08
1501097,X,0.43587,4.4581465251158795e-08,6.167222957528529e-08,5.635893131783792e-06,8.87757651778176e-06,2.311538638240464e-08
1313698,X,0.43619,1.4249250215508214e-06,5.276398356493648e-06,3.941056384043395e-09,1.8466084107792102e-09,2.3162760565719283e-08
1256701,X,0.43629,3.5332835507630597e-06,1.6225086371848108e-05,1.6486281246296128e-07,1.3456365880826114e-07,2.3177574943513617e-08
1316831,X,0.43848,3.7748295217931194e-08,7.18688885132911e-08,1.1467026754990418e-09,1.0844477584962142e-09,2.3503197381870288e-08
1334614,X,0.43941,8.35894067688875e-08,2.780862706742488e-07,2.9653700805259006e-06,4.0337635177174114e-06,2.3642162496150713e-08
1310294,X,0.43967,1.1916311307839641e-07,9.884839964503089e-07,3.087092592724328e-06,4.355430957236972e-06,2.3681086223449e-08
1904152,X,0.44025,2.4133250053686412e-06,6.356970090482807e-06,2.069687758225871e-06,2.5671414978270997e-06,2.376803144454283e-08
1256823,X,0.44084,3.801109044474082e-07,9.178710743142138e-07,5.639087957322326e-07,4.137472435146986e-07,2.3856639182697493e-08
1641173,X,0.44364,1.640490328502429e-05,4.6163821010414566e-05,4.180735686950083e-08,4.665224857542105e-08,2.4279398167186112e-08
1645125,X,0.44419,8.557426242212757e-09,2.915455703816578e-07,1.6190674210463144e-09,1.1843701524135027e-09,2.4362876410523823e-08
1265089,X,0.44472,7.295888182433133e-08,1.3197841576357118e-07,1.7155397928939633e-06,2.919828221138908e-06,2.4443454624441065e-08
1251975,X,0.44647,2.2676566441200373e-08,1.2597541286631485e-06,2.204179094463314e-09,3.614984990464747e-09,2.4710459587975777e-08
1253474,X,0.4467,1.3361080856589436e-06,1.784568341449809e-06,3.211126770725212e-08,3.7514158646812595e-08,2.4745659506618187e-08
1264499,X,0.44841,1.812042940920929e-07,8.10208009072321e-07,7.650839082531855e-09,8.628423669393727e-09,2.500814880260717e-08
1255487,X,0.45012,1.4543301407145537e-06,3.372205625817144e-06,9.639925015903176e-09,1.1741216334562448e-08,2.5272022939523257e-08
1367556,X,0.45115,1.8446508180275275e-07,1.286269775105069e-06,1.4182954772958588e-09,1.3767595329641714e-09,2.543163296188088e-08
1252829,X,0.45168,3.069888751799332e-08,5.0397668328463593e-08,4.593614695798547e-10,8.12396095366908e-10,2.5513958175287426e-08
1552028,X,0.4518,2.8427950072295253e-08,5.9455921182734307e-08,3.1190404760855486e-09,1.658967086421937e-09,2.553261631647598e-08
1337267,X,0.45318,8.180630326149861e-06,2.8609259762767316e-05,4.1267346417249605e-09,1.1907095092634232e-08,2.5747675111603723e-08
1916143,X,0.45362,5.0930538931409426e-08,3.0453292701197013e-07,2.0009121035462933e-08,2.074312661909437e-08,2.5816434210195905e-08
1253475,X,0.45412,9.926645711423724e-08,2.85771504452865e-07,3.3683693997076633e-06,9.806902518139905e-06,2.5894680844474483e-08
1777122,X,0.45429,1.1452827499530424e-08,9.061385957074435e-08,1.1213426144615931e-06,5.985572676508746e-07,2.5921311671398625e-08
1937078,X,0.45525,6.755193895060089e-08,7.895514645394713e-07,2.4574915242518334e-09,3.0139792899515073e-09,2.6071954395821317e-08
1247537,X,0.45565,1.2973664615786765e-07,2.0704735992277717e-07,5.053870022921232e-06,1.5493281041667242e-05,2.6134851015671103e-08
1905184,X,0.45587,8.722437140642599e-08,4.519338343436573e-07,1.03025166110591e-07,1.6034162112035342e-07,2.6169476455807623e-08
1531145,X,0.45675,8.133737773935422e-09,1.0147711745168317e-07,7.397171161942947e-10,6.318021090276288e-10,2.6308207436633695e-08
1531113,X,0.45694,3.8757596625061636e-08,2.2887414087760037e-07,0.0003209123924338,0.0003238605666178,2.6338208857578684e-08
1339875,X,0.45944,1.0467023162583664e-06,1.6087186916706717e-06,1.8063321517919375e-08,8.265700934446426e-09,2.6734556861568712e-08
1784110,X,0.45993,1.855002931952868e-05,1.8228626908007113e-05,1.3466380685428348e-08,2.1412002764959287e-08,2.6812588002814397e-08
1565032,X,0.46097,5.9326198330457e-09,3.229819883457519e-08,7.6953034954155e-09,5.569257355492937e-09,2.6978581911597933e-08
1338959,X,0.46167,6.061538190471867e-06,1.2715420984518416e-05,9.541151143025897e-07,1.6914045962824609e-06,2.7090597000699694e-08
1366187,X,0.4629,9.365082244888396e-09,2.166884645612665e-07,1.563386542130644e-07,2.545918922531275e-07,2.728798564871384e-08
1924089,X,0.46299,4.038171281390522e-09,8.310062047404721e-09,2.148735590693933e-06,2.345422688381868e-06,2.7302456852100122e-08
