CID,zHD,rvar_gal_cl,rvar_gal_tot,rvar_cl_cl,rvar_cl_tot,var_zp
05D1ck,0.61577,3.920415650953363e-07,1.6558742928398478e-06,0.0002210720478926,0.0006330429628391,5.967937122144501e-08
1308957,0.61875,7.501816883017439e-07,2.1917042412169935e-06,2.2635648844509354e-07,2.075979050089967e-07,6.048866269083602e-08
05D1cb,0.63077,2.675203699076738e-07,8.611593954230233e-07,1.5848807638686968e-05,3.936064332366584e-05,6.42076619435562e-08
1330642,0.63399,9.425114610137608e-07,3.6717135063975706e-06,9.731964155848628e-07,1.1482745357728237e-06,6.533979979026067e-08
04D1pu,0.63777,2.906073190856106e-08,2.16355356246695e-07,4.484509124214329e-07,3.938090535655561e-07,6.668145602191617e-08
1337325,0.63873,1.99453530764825e-07,7.05523180174531e-07,1.2044195422691748e-05,3.324480100110309e-05,6.702436524254156e-08
1338266,0.64852,1.5223799103072354e-06,4.95899090858299e-06,1.528120371914154e-06,1.1226908976286083e-06,7.057153919940364e-08
04D1sk,0.66213,1.9728145755687534e-06,5.736442780595093e-06,1.25531185021829e-07,1.7231691911616272e-07,7.565475275755069e-08
03D1co,0.67773,3.549808963201078e-06,1.6451247755591822e-05,2.211289275543901e-07,3.271764163840678e-07,8.142916535548236e-08
05D1ke,0.68872,1.2740771168662991e-06,4.382892719598803e-06,1.449920832163065e-07,1.47912348289459e-07,8.47101663313787e-08
04D1si,0.7007,4.553953466597776e-08,1.821265959731139e-07,2.5112009323507617e-08,2.0790808100880333e-08,8.836054625523408e-08
1331993,0.71968,1.5978307736680615e-07,2.071950265750473e-06,5.229721211024913e-07,1.083961467061581e-06,9.430150500442492e-08
04D1aj,0.71969,2.1003156967209073e-05,4.135963522578464e-05,6.915686748417803e-06,6.822351591069798e-06,9.430468606240525e-08
1304127,0.72866,6.151408085121059e-06,2.087722198165774e-05,1.998821584089096e-07,2.592494023484962e-07,9.729376413087027e-08
04D1pp,0.73368,1.8072180346106688e-06,6.3476096636368434e-06,5.752154964887433e-06,1.0666803198351697e-05,9.908039614823789e-08
05D1eo,0.73568,3.344236520873498e-08,1.0588289232599679e-07,3.773254688003046e-05,6.7195560372726e-05,9.979672992189037e-08
05D1if,0.76165,5.115889218541026e-07,3.553682995868245e-06,3.8454426746081395e-08,2.6207936575488364e-08,1.0933259676702366e-07
04D1qd,0.76566,2.0897176330749706e-07,3.651000685866458e-07,2.712762604512667e-05,0.0001005587886494,1.1084379315594972e-07
04D1de,0.76666,2.0938388475419293e-06,8.490583345874017e-06,2.160418321661637e-06,6.681976107201121e-06,1.112222659389358e-07
04D1pc,0.76865,2.6194706827411346e-06,9.602362184619598e-06,4.100493675437979e-07,6.311494666199275e-07,1.1197734580681953e-07
04D1ks,0.79662,3.922640444750411e-07,7.425511379682845e-07,8.051488007520932e-06,1.957223435293215e-05,1.236021553130149e-07
03D1fq,0.79863,1.8320234987278275e-07,1.0256501728728655e-05,1.5530163281643616e-05,3.3651027565593653e-06,1.2447538465469177e-07
SCP05D0,1.01242,1.7665796151674694e-06,8.149456948970139e-06,6.497003039107626e-08,2.2204221614771226e-07,2.192364315013127e-07
SCP05D6,1.31317,1.4539785610668294e-06,2.0357746755421182e-06,7.736774933312515e-05,0.0001326555012051,4.052717117668689e-07
190340,0.1384,1.4829313939053639e-09,6.701307375173943e-09,7.774785296326427e-14,1.816797925967183e-13,1.9157709681687048e-10
190230,0.1388,2.0119787298159e-11,9.227045862571386e-09,5.839960264847812e-13,1.7594266795726354e-12,1.9489792239939604e-10
420407,0.24523,3.4108201291330634e-08,4.7694464404540235e-08,2.1013599628588422e-11,1.237430237021484e-11,1.997117527397333e-09
420414,0.29256,8.982809767845313e-10,5.240869840690721e-09,1.8558394841794753e-12,3.2109871550183576e-12,3.510264070666505e-09
570025,0.29855,3.9071625051631964e-06,2.9910768308910647e-05,2.60267749925753e-08,2.5709828475058258e-08,3.759656741713921e-09
430003,0.32851,1.2156280474218042e-08,5.6577492889906885e-08,2.8652686077894266e-08,4.739393784621652e-08,5.153144189937105e-09
420417,0.36147,4.709893405849574e-06,1.2576174997023484e-05,2.41725079877475e-07,2.0470334469289286e-07,7.110500120336333e-09
550137,0.41939,2.385178423801347e-06,9.077473275645724e-06,1.220942163427409e-09,6.615102217618344e-10,1.272710715689259e-08
190260,0.14359,1.5926397652356026e-12,1.2521020312458382e-08,0.0,0.0,2.9114702665063054e-10
530037,0.26859,5.268689491810869e-07,1.5125002150044238e-06,3.033627944214771e-10,3.6555530810764125e-10,7.067138530651971e-09
1293758,0.14803,3.249088224183252e-06,1.913484876188488e-05,0.0,0.0,2.8268547574841542e-11
1273127,0.18929,2.5140865303809905e-07,1.0954268843559104e-06,1.929719806093967e-13,9.852555641140434e-14,1.196704758858317e-10
1327978,0.20691,1.2353350341201484e-09,6.729534828856461e-09,1.225509893210333e-12,1.6277497156506837e-12,2.29775131883843e-10
1303883,0.25904,1.6213970085577487e-09,1.333107941443614e-08,1.0319936296923032e-10,3.994579220487879e-10,1.0966764216070347e-09
1338128,0.31179,9.993342378266844e-11,4.27833442044614e-10,4.61824612747703e-07,4.315339853307069e-07,3.3298312790977583e-09
1336009,0.34169,1.2829451755343824e-09,4.7380038091056184e-08,5.067133656322028e-08,5.0915746454253945e-08,4.978186242897043e-09
1283936,0.36857,5.940062245828455e-11,3.5875910126663792e-09,2.648309314156652e-06,5.494146194354448e-06,6.517261541369494e-09
1341370,0.40895,2.904412069182381e-10,9.135388151323324e-09,1.7440513542044476e-06,1.7532154755899317e-06,1.0612699024710445e-08
1328105,0.44149,6.796627586447065e-07,6.877784674047132e-07,6.479513293330572e-06,2.096732132302183e-05,1.4651701373151828e-08
1255502,0.14834,1.0758718509462526e-10,2.084845708881562e-09,0.0,0.0,2.0849727451478873e-09
1345582,0.45885,2.7876208514503845e-06,5.5904204930558495e-06,4.244339003523728e-05,3.185283975914135e-05,3.2412005997334385e-07
1306785,0.57542,1.99813962347304e-08,7.804591595037412e-08,2.5296608642991427e-05,1.545645461752837e-05,5.407027509862181e-07
1308568,0.64311,2.335788459742189e-07,4.91943687618102e-07,1.957835695829202e-08,1.734122427454528e-08,6.840844588130223e-07
460003,0.15084,5.626054333898904e-10,2.07513413790084e-09,2.311817078293771e-12,6.388862170224724e-13,5.099966395752324e-10
360112,0.18086,2.7874711535352386e-07,1.684033708262791e-06,6.723363928067487e-09,1.388384418311412e-08,1.399108681344621e-09
470232,0.20083,3.434009022769275e-11,2.4004193867918404e-10,1.0481090280164196e-10,7.40386364569606e-11,2.2655260941377848e-09
460105,0.21084,3.949931022175005e-08,2.6862279036482452e-05,1.0233376415948438e-06,2.4335886639885916e-06,2.778000867660982e-09
330083,0.22385,8.716249139708491e-11,1.272663344672363e-09,2.8481679989636408e-11,1.9873916225457033e-11,3.522087090975487e-09
580300,0.24085,2.2068534292823086e-09,1.147343969757406e-08,7.234877742436091e-10,2.816218565307927e-10,4.358349778885558e-09
350080,0.28588,2.9888645684627645e-07,5.737415359601103e-07,1.5979231739844228e-08,1.1394801733419849e-08,7.342345155858196e-09
580270,0.29587,1.185189521526931e-06,2.244278873505641e-06,6.728011090276066e-10,2.057987957350033e-09,8.411220757215225e-09
350078,0.30089,3.732007981544265e-07,6.261051168326232e-07,2.38912512554318e-07,3.4703492635054213e-07,8.975742825237209e-09
110716,0.31588,2.609837101584372e-06,1.6889368706451045e-06,1.0214104392802236e-09,6.056549725844892e-10,1.0770547041881732e-08
480184,0.33089,6.139860253737663e-05,5.5150332102156544e-05,1.9790908104013494e-09,1.5070303904873231e-09,1.2712904214219376e-08
470244,0.36091,1.351265239919168e-07,1.648213270563647e-07,5.9195881569887454e-08,1.7082464091253166e-07,1.7013583794645695e-08
350083,0.3679,1.354371707691982e-07,3.088178520354956e-07,7.668183065475083e-09,5.306663056007747e-09,1.8104751740979812e-08
110719,0.42793,6.932218955836696e-06,9.168686552911098e-06,4.554397814416887e-09,6.045050415670766e-09,2.8892765043367578e-08
330106,0.53099,5.179997708177311e-07,8.886772367985862e-06,4.399788877691622e-07,3.540524910941183e-07,5.00537395467358e-08
110426,0.54097,9.301735533085853e-09,5.5079473825609553e-08,3.686643867777872e-06,1.9979661166595215e-06,5.3033194005494456e-08
110721,0.57831,8.266819924929551e-07,2.894355790049074e-06,2.1571999267678247e-09,4.817031091009116e-09,6.430934124496123e-08
390627,0.16061,5.539861320621903e-09,1.1873996563231566e-05,2.6734446272837898e-11,2.716910930822104e-11,4.930931844261982e-10
500504,0.19961,2.2739923224457825e-07,5.39865486646122e-07,8.56697822915375e-07,1.1285676472767802e-06,1.6102714444939931e-09
020176,0.26062,4.144038312795583e-06,3.823177056669714e-06,1.6461695453171458e-10,2.61923779253881e-10,5.1377412848316025e-09
380378,0.27141,5.6831173938401174e-08,2.099365027347098e-07,1.991307297766161e-07,3.730342101499232e-07,5.924175898400592e-09
020090,0.41004,1.1468987264987077e-08,2.3931993130736265e-07,1.8991741106747978e-07,1.4058976581950306e-07,1.784382668686894e-08
050607,0.43935,1.5634790799846798e-07,5.318256009850537e-07,3.3574798698377257e-07,2.8170659232094536e-07,2.2059463069492153e-08
050005,0.52859,5.3622350358049865e-06,7.384616512358882e-06,1.534628531699147e-05,1.2601369953597711e-05,3.7262628138086654e-08
100090,0.17297,2.13096176255332e-11,1.5275021456064647e-10,1.3403171720998834e-09,6.036283146362564e-10,3.600789706093849e-09
370308,0.20087,1.1262498322071364e-06,9.103347341058116e-07,8.613905906243103e-09,7.919654805382769e-09,6.03445675161962e-09
