CID,sample,HOST_RA,HOST_DEC,zHD,HOST_LOGMASS,MU,MUERR,PROBIA,clipped,cluster_targeted
SN2008R,CSP,45.97375,-11.994278,0.012885878748119639,11.0,33.900272483089246,0.22292470951447274,1.0,False,False
SN2008ar,CSP,186.15800416666667,10.838075166666668,0.02730160648132851,11.0,35.41723410863545,0.15301304715479008,1.0,False,False
SN2008bc,CSP,144.630125,-63.973778,0.015739622640399853,11.0,34.13964828984717,0.20708699444992565,1.0,False,False
SN2008bf,CSP,181.01203525,20.245123777777778,0.025124152383630034,11.39,35.09438309548529,0.15534323514306306,1.0,False,False
SN2008bq,CSP,100.260458,-38.038611,0.03447471821442383,11.0,35.71359072632375,0.14826871534716513,1.0,False,False
SN2008bz,CSP,189.74047066666668,11.129416666666668,0.06145696013292412,11.0,37.26272062528278,0.13140516350527717,1.0,False,False
SN2008cf,CSP,211.8857189166667,-26.5519915,0.04689924985153271,11.0,36.53707691666441,0.1382659461293942,1.0,False,False
SN2008fl,CSP,294.186833,-37.55125,0.019407388339534926,11.0,34.59481682306312,0.1785399678077012,1.0,False,False
SN2008fr,CSP,17.954925000000003,14.640723444444445,0.045557901513428756,11.0,36.24814065847977,0.1365691659561644,1.0,False,False
SN2008gg,CSP,21.346,-18.172444,0.031042596371466225,11.0,35.58045195901793,0.15005183169609504,1.0,False,False
SN2008gl,CSP,20.228416833333334,4.805322444444444,0.03292938841105375,11.0,35.75549076818883,0.14636451325162342,1.0,False,False
SN2008go,CSP,332.686792,-20.788111,0.06118077037819014,11.0,36.9939008164148,0.13313349480032946,1.0,False,False
SN2008gp,CSP,50.753042,1.361889,0.032815248515951634,11.0,35.77816909544132,0.14669040635666403,1.0,False,False
SN2008hj,CSP,1.0079644166666668,-11.168868055555556,0.03670687987621557,11.0,36.01206658475205,0.14249201173439477,1.0,False,False
SN2008hu,CSP,122.3115,-18.653639,0.050604121609884034,11.0,36.7827512278573,0.13781935409253787,1.0,False,False
SN2008hv,CSP,136.89192933333334,3.3922611111111114,0.013579409077176918,11.0,33.92053365008186,0.2130042288714937,1.0,False,False
SN2008ia,CSP,132.646458,-61.277944,0.022526934665811238,11.0,35.00241111244993,0.17595501516201392,1.0,False,False
