CID,zHD,rvar_gal_cl,rvar_gal_tot,rvar_cl_cl,rvar_cl_tot,var_zp
n406,0.7686546099321914,1.548523120568164e-06,2.395721376209436e-06,3.84987828429313e-06,6.78461728771627e-06,7.561199345549423e-08
p524,0.5098453344808607,1.3312933673470991e-06,1.5541221637581717e-06,4.52631102778457e-09,4.996782597917475e-09,2.082010321346713e-08
q008,0.2860380006647554,1.5540240047778074e-08,6.616962167471818e-08,1.3133991252887104e-10,2.2476722778439862e-10,2.6977095967930134e-09
q014,0.2680257659046412,3.3317155602015862e-09,9.956085089662878e-09,8.454351412333667e-09,1.1730457836692078e-08,2.053636776155948e-09
q018,0.2690336668322792,8.357066596717626e-08,2.1116661245485394e-07,1.901442482053008e-11,1.6990214720727898e-11,2.0820341789605753e-09
q021,0.3589754450029876,7.611167092970456e-10,6.1548976918914355e-09,7.590302561961689e-11,3.830284863187535e-11,6.46544268789653e-09
q049,0.4189272542020283,2.672119548090121e-07,6.408917307305797e-07,4.968829049359132e-09,4.427882992594154e-09,1.1258205004093813e-08
q054,0.32599038645554,3.8122591625312515e-09,1.2324060133582252e-08,8.468648939579525e-11,1.5480110339691623e-10,4.632110948433715e-09
q067,0.1820930541231522,2.804273478901943e-09,2.8486473669986633e-08,9.500356685735763e-12,8.758904192140577e-12,3.3178966821769573e-10
q075,0.4269120826247028,4.86631970657575e-07,1.421721469533968e-06,2.8644080316881455e-11,6.421150323573049e-11,1.2030681259251253e-08
q106,0.4738721158190695,1.840425681669841e-07,1.6881509465209593e-06,3.264916854328802e-06,1.0827793744428124e-05,1.708863460862397e-08
r193,0.6117862555751836,3.563990078177248e-05,0.0001218441541339,0.0003194386703238,0.0011244955459015,3.8838732734999647e-08
r199,0.4089339892367944,3.77675931077175e-07,4.456169882047423e-06,5.2102334586582756e-08,1.0314269419923092e-07,1.0327343903901013e-08
r230,0.2590564141878402,1.5901613730512106e-07,5.625774739539044e-07,5.5023978786965086e-08,3.5521032159290714e-08,1.809515730095132e-09
s370,0.4388923753940394,4.084502340462343e-09,2.9372666582710556e-08,7.603753449631676e-09,2.9225400599024073e-08,1.3236933960318785e-08
s374,0.7556934159450979,4.301377640299458e-07,3.5929233514239777e-06,9.468304083203594e-10,7.391262045149753e-10,7.144583464534786e-08
x055,0.3484663886920651,7.409648048177082e-10,2.1677940784422253e-09,5.91686592900475e-09,9.838809562873108e-09,5.848239291850232e-09
x077,0.5188423821555461,8.791429154184324e-08,3.72635641652153e-07,7.022445993824504e-10,1.4157023368322331e-09,2.1804824150960812e-08
x085,0.6337486969137429,7.781559939855894e-06,7.249654471289874e-06,2.758307767271705e-07,3.151932473643252e-07,4.3465253658473914e-08
x093,0.4992523953645407,6.845939064181038e-07,1.1493737967771957e-06,2.5069806564475524e-08,2.7155718337987177e-08,1.9689876616153653e-08
x107,0.1451153241454577,9.076987304198674e-14,1.4198363509191376e-11,2.711744476942194e-15,1.2632409959093172e-15,1.0275439859795708e-10
y127,0.5508005326315972,3.836679210383226e-07,6.513332008302475e-07,1.506683682433317e-09,1.87029217412065e-09,2.758762136168402e-08
y136,0.51883699169031,2.04392846879596e-05,1.9320985102714985e-05,9.882600736887708e-07,1.9692369567637484e-06,2.1804227356377675e-08
y142,0.5807942719271146,4.40297602344205e-06,4.118484487494993e-06,3.0169010951265804e-09,1.872113441781955e-09,3.375116529029219e-08
y175,0.4119424111195477,2.323999491339313e-09,1.931088844872394e-07,3.4491066336777595e-10,3.0046672341426756e-10,1.0603349613663485e-08
y177,0.3050165701996106,3.2022968255309645e-08,6.621372520834015e-08,3.984531741008778e-08,1.9399469026511266e-08,3.553479753551043e-09
z204,0.6188407844990886,5.1500589439361215e-08,2.831280699099807e-07,1.087942698008326e-07,1.4043393669139078e-07,4.004666747754375e-08
z205,0.4049290252945376,6.639077139979246e-09,1.5263179519931e-07,4.4658508119802895e-10,2.528309821216525e-10,9.965559033229041e-09
b016,0.3234342853472898,2.0275227256627684e-08,4.517000752366046e-06,1.063368465617246e-08,6.1159643928738235e-09,5.4321420086953086e-09
b017,0.2585110724983306,4.328777360905471e-09,5.019258436421771e-05,3.399562564607593e-10,7.05247914860544e-10,1.7869228533003404e-09
d033,0.5241927355030782,7.971716224819044e-09,7.38875300633598e-08,1.0405324154159342e-09,8.64157419337333e-10,2.839303593103984e-08
d085,0.4033332042925672,7.344224923875064e-08,1.3717799936143445e-07,1.6269047593297197e-06,1.5938146303417177e-06,1.1898011081316096e-08
d086,0.2025744879985056,6.738819749463337e-09,2.2853531287378367e-07,8.184091313194987e-09,2.3053001980138995e-08,6.502826272835504e-10
g001,0.2634998440602791,1.6816925404157338e-07,4.774904651517141e-07,2.4189127167450277e-08,1.1362040311619246e-08,1.9305132103300606e-09
g005,0.2165528581413196,2.053498729340886e-06,2.409546274111508e-05,7.028973434301078e-10,1.6202399494835235e-09,8.398810553863295e-10
g050,0.6031074350335759,1.740215219471096e-07,9.191250492922808e-07,2.191034783840464e-06,5.890213268975049e-06,4.391029895087527e-08
g052,0.3823632125087766,2.2703743685499405e-06,2.869728724737785e-06,6.385584076307674e-10,8.820817061968094e-10,1.0248805099602036e-08
g053,0.6309688478018229,1.7876778020315706e-06,7.515435698812025e-06,1.817120050122966e-06,8.845990148758129e-06,5.121133860272289e-08
g097,0.3414117361818132,3.4480280645890487e-08,5.1226900304411095e-08,5.818022683016309e-10,1.2930026372581915e-09,6.789708474774915e-09
g142,0.4023330687664148,2.3718448997976008e-06,1.2029242139249824e-05,1.6218652518384558e-07,1.0783795302079617e-07,1.1816561562706332e-08
g240,0.6869943362775286,1.2788298891525469e-06,4.879570371297823e-06,2.1081337585739695e-06,3.785039886244125e-06,6.742247588801069e-08
