region,ra,dec,radius_deg,n_sn,z_max,process
204,26.420935,-1.054386,0.0,1,0.195801,False
205,340.87503712110595,0.3421446096933698,0.09155986203366198,2,0.196541,True
206,350.362471,1.132483,0.0,1,0.334388,True
207,8.107763000000002,-1.054001,3.180016538823959e-15,1,0.153389,False
208,38.099796,-0.713578,0.0,1,0.249733,True
209,11.452697232070843,-1.0149875876422623,0.22941698131609062,2,0.173568,True
210,51.836304,1.089658,0.0,1,0.301291,True
211,45.29053900000001,-0.026244,6.361108695632369e-15,1,0.399071,True
212,315.94024794464826,-0.9636074330154848,0.16640206536796828,2,0.205146,True
213,1.4915930000000002,1.1030860000000002,2.810979246927828e-16,1,0.138637,False
214,339.723804,-1.167083,0.0,1,0.183757,False
215,12.878674,-0.9473990000000001,0.0,1,0.198667,False
216,26.322654879415857,-0.0024280515916957255,0.30767915143350094,3,0.386667,True
217,356.171815,-0.030055,0.0,1,0.176962,False
218,309.20277,0.098444,0.0,1,0.145333,False
219,37.13657,-1.042117,0.0,1,0.143873,False
220,300.63676499999997,0.371675,0.0,1,0.17702,False
221,6.364582000000001,-0.8395710000000001,8.012419085382185e-16,1,0.287457,True
222,27.599838,1.1720750000000002,1.987846675914698e-16,1,0.237751,True
223,23.367535000000004,0.524681,3.1804213246387564e-15,1,0.369762,True
224,337.478285,1.058609,0.0,1,0.1294,False
225,12.417631513803524,0.6361916299722075,0.13549962930913792,2,0.189307,True
226,11.516434,-0.010381,0.0,1,0.10926,False
227,29.434914707457423,-0.4601145399128826,0.06645256592669105,2,0.378399,True
228,48.52543913875623,0.4499087831986923,0.2094314224662883,2,0.212263,True
229,307.116955,0.006237,0.0,1,0.241847,True
230,330.395432,-0.256872,0.0,1,0.318042,True
231,354.203771,-0.78223,0.0,1,0.285433,True
232,29.729753,-1.027071,0.0,1,0.189141,False
233,359.072222,-0.505872,0.0,1,0.175584,False
234,8.905735,0.370035,0.0,1,0.257219,True
